Unnamed: 0,id,fish,biggest_area,t,x,vx,y,vy,theta,vtheta,theta-00,theta-01,vel,absvtheta,abstheta,fish_id,ms,csv_id,exp_id,bin,res_id,ID,aligned_t,aligned_ms,delta_t,trial_id,condition,unique_res_id,time_adj,vtheta_adj,vtheta_adj_diff
223044,70030,f00,1024.0,175.07848,138.2298552044053,-0.3507839384977708,132.1775728588913,0.1320553382866741,1.4437910204815485,-0.0596272797891951,0.2264138771755712,0.2583245016985911,0.3748172673157091,0.0596272797891951,1.4437910204815485,0,175050.882,113345,2,9,9,9_2,0.0184800000000109,18.48000000001093,0.001999000000012,240304_f0trial2,tau,tau_113345_240304_f0trial2_9_2,15.0,0.0596272797891951,0.0506531182183952
377036,14033,f01,1088.0,35.078917,549.1553968514982,2.587811457473652,165.56933647543443,-2.446897321861522,2.3225288223541187,0.0161792217594806,-0.2675258267487033,-0.2939693147076481,3.561470853898007,0.0161792217594806,2.3225288223541187,1,35051.319,114156,3,2,102,102_3,0.0189169999999947,18.916999999994744,0.0020230000000012,240304_f0trial2,tau,tau_114156_240304_f0trial2_102_3,15.0,0.0161792217594806,0.271550778240265
393427,38027,f01,1088.0,95.065367,593.5522932118312,-0.0571308030471481,20.34557535784637,-0.1776074196218573,-0.3436675206315002,0.0226022654777269,-0.0952319161170378,0.0740107725556833,0.1865698908225722,0.0226022654777269,0.3436675206315002,1,95037.769,114156,3,5,105,105_3,0.0053669999999925,5.366999999992572,0.0020080000000035,240304_f0trial2,tau,tau_114156_240304_f0trial2_105_3,5.0,0.0226022654777269,0.0105859288178382
442537,62034,f02,1024.0,155.084943,472.3180196678181,-3.1531303388045835,237.05274628588424,-2.155515776493542,1.689552887412508,0.1738781819328478,0.0445497547953319,0.011387116910889,3.819486771308741,0.1738781819328478,1.689552887412508,2,155057.345,114156,3,8,208,208_3,0.0249430000000074,24.943000000007487,0.001999000000012,240304_f0trial2,tau,tau_114156_240304_f0trial2_208_3,25.0,0.1738781819328478,0.5901992919890475
468607,62030,f04,896.0,155.074961,168.51700775102043,-0.0106264965039521,116.2941515609275,-0.2617101089979348,3.419316963972053,-0.0363547116355255,0.1447044863673401,0.1397182130279373,0.2619257596718188,0.0363547116355255,3.419316963972053,4,155047.36299999998,114156,3,8,408,408_3,0.0149609999999995,14.960999999999558,0.0030009999999833,240304_f0trial2,tau,tau_114156_240304_f0trial2_408_3,15.0,0.0363547116355255,0.03628894173924019
337828,30035,f00,1152.0,75.084912,368.6168432979109,4.272347619974827,169.92675788036183,0.7947620026249587,-2.918973080544068,0.0119130374745249,-0.1520142675317997,-0.153663042812107,4.34564158976796,0.0119130374745249,2.918973080544068,0,75057.314,114156,3,4,4,4_3,0.0249120000000004,24.91200000000049,0.001999000000012,240304_f0trial2,tau,tau_114156_240304_f0trial2_4_3,25.0,0.0119130374745249,0.306691605229444
342399,38033,f00,1408.0,95.080349,88.87979546526772,1.7091368730674246,205.260640903248,4.176978796758897,-1.698375193616627,-0.2129021272384486,-0.1689576330111397,-0.1476192792981312,4.513125382642509,0.2129021272384486,1.698375193616627,0,95052.751,114156,3,5,5,5_3,0.0203489999999959,20.348999999995957,0.0019980000000003,240304_f0trial2,tau,tau_114156_240304_f0trial2_5_3,25.0,-0.2129021272384486,0.1586846567458221
93306,62044,f01,1088.0,155.10014,161.2147199742788,0.0757628368934019,62.11519315214417,-0.1531097903916123,1.166943579514896,-0.0019990442527296,0.026820698669324,0.0266785131743407,0.1708291994007455,0.0019990442527296,1.166943579514896,1,155072.542,114658,1,8,108,108_1,0.040140000000008,40.14000000000806,0.0029790000000105,240304_f0trial2,tau,tau_114658_240304_f0trial2_108_1,45.0,0.0019990442527296,0.0095669551770263
132157,62029,f02,960.0,155.062159,450.13959800115214,-0.0277160699434106,165.4929082055528,-0.0248730964425115,0.5775120107416809,0.0554876135160339,0.0328997492211078,0.0214348834161421,0.0372404546125112,0.0554876135160339,0.5775120107416809,2,155034.561,114658,1,8,208,208_1,0.002159000000006,2.159000000006017,0.0019979999999861,240304_f0trial2,tau,tau_114658_240304_f0trial2_208_1,5.0,0.0554876135160339,0.46722959023464083
139110,70036,f02,896.0,175.08068,320.2784304737989,-2.3205358310404645,72.27779984726018,-0.4322155439510015,-2.7191542653946628,0.0381673936732101,-0.0077817831572906,0.0045100886414255,2.3604441996318237,0.0381673936732101,2.7191542653946628,2,175053.082,114658,1,9,209,209_1,0.0206799999999987,20.6799999999987,0.0029899999999827,240304_f0trial2,tau,tau_114658_240304_f0trial2_209_1,25.0,0.0381673936732101,0.0348526796879699
147310,22037,f03,1408.0,55.079928,256.37243775511075,-0.2436998125637432,219.2176322554962,-0.5202926121904748,-3.0659233161137904,-0.087269752993026,0.2955510208369447,0.3640448385687462,0.5745380761477793,0.087269752993026,3.0659233161137904,3,55052.33,114658,1,3,303,303_1,0.019927999999993,19.927999999993062,0.0029879999999948,240304_f0trial2,tau,tau_114658_240304_f0trial2_303_1,15.0,0.087269752993026,0.0882799611005899
167991,54030,f05,896.0,135.064567,48.39938308868204,0.4122606243584912,69.63472697524874,-0.3136061703594753,1.9986282761834528,0.0267457414651684,-0.1962655963021955,-0.1552643031081961,0.5179842203040448,0.0267457414651684,1.9986282761834528,5,135036.969,114658,1,7,507,507_1,0.0045670000000086,4.567000000008648,0.0029989999999884,240304_f0trial2,tau,tau_114658_240304_f0trial2_507_1,5.0,-0.0267457414651684,0.035528747696181896
28573,38032,f00,1088.0,95.067696,109.68365977484724,0.1430309154085337,37.93641991711838,0.0927212852130171,-0.3464287181145916,-0.0316899055886872,0.0441233309648958,0.0799527694313617,0.1704555059074267,0.0316899055886872,0.3464287181145916,0,95040.098,114658,1,5,5,5_1,0.0076959999999957,7.695999999995706,0.0019999999999953,240304_f0trial2,tau,tau_114658_240304_f0trial2_5_1,5.0,0.0316899055886872,0.0329518250781195
45999,62034,f00,1024.0,155.074152,125.9944026853042,1.2372875373068584,215.7247976217228,1.9306246344130085,-0.1782121905053756,-0.0710938069971931,0.0763468714443473,0.0988105898774716,2.293074776141684,0.0710938069971931,0.1782121905053756,0,155046.55399999995,114658,1,8,8,8_1,0.0141519999999957,14.151999999995724,0.0019769999999823,240304_f0trial2,tau,tau_114658_240304_f0trial2_8_1,15.0,-0.0710938069971931,0.018093692042488993
